Links to Proxy Access Bylaws
(September 2017)
Company	Link
CF Industries Holdings, Inc.	http://www.sec.gov/Archives/edgar/data/1324404/000110465915071091/a15-21193_1ex3d2.htm
General Electric Company	http://www.sec.gov/Archives/edgar/data/40545/000004054515000012/ge8kbylawse3.htm
HCP, Inc.	http://www.sec.gov/Archives/edgar/data/765880/000110465916092910/a16-3226_1ex3d1.htm
Boston Properties, Inc.	http://www.sec.gov/Archives/edgar/data/1037540/000119312515059999/d879046dex31.htm
Arch Coal, Inc.	http://www.sec.gov/Archives/edgar/data/1037676/000110465915015186/a15-5469_2ex3d1.htm
Prudential Financial, Inc.	http://www.sec.gov/Archives/edgar/data/1137774/000119312515085494/d888962dex31.htm
Cabot Oil & Gas Corporation	https://www.sec.gov/Archives/edgar/data/858470/000110465916135237/a16-15636_1ex3d1.htm
Bank of America Corporation	http://www.sec.gov/Archives/edgar/data/70858/000007085815000026/bac-exhibit31032015.htm
New York Community Bancorp, Inc.	https://www.sec.gov/Archives/edgar/data/910073/000119312516803212/d249985dex3ii.htm
The Priceline Group Inc.	http://www.sec.gov/Archives/edgar/data/1075531/000107553115000068/ex31amendedandrestatedby-l.htm
Biogen Inc.	https://www.sec.gov/Archives/edgar/data/875045/000119312517200127/d406783dex32.htm
Marathon Oil Corporation	http://www.sec.gov/Archives/edgar/data/101778/000010177815000028/mro-form8kx2015aug26ex.htm
FirstMerit Corporation	http://www.sec.gov/Archives/edgar/data/354869/000035486915000033/ex32_10qx1qx2015.htm
Rite Aid Corporation	http://www.sec.gov/Archives/edgar/data/84129/000134100415000321/ex3_1.htm
United Therapeutics Corporation	http://www.sec.gov/Archives/edgar/data/1082554/000110465915048163/a15-14669_1ex3d1.htm
Big Lots, Inc.	http://www.sec.gov/Archives/edgar/data/768835/000120677415001256/biglots_def14a.htm
Monsanto Company	http://www.sec.gov/Archives/edgar/data/1110783/000111078316000332/markedbylaws.htm
SLM Corporation	http://www.sec.gov/Archives/edgar/data/1032033/000119312515239448/d947606dex32.htm
Whole Foods Market, Inc.	http://www.sec.gov/Archives/edgar/data/865436/000110465915048521/a15-14941_1ex3d1.htm
Broadridge Financial Solutions, Inc.	https://www.sec.gov/Archives/edgar/data/1383312/000138331217000042/ex991amendedandrestatedbyl.htm
H&R Block, Inc.	http://www.sec.gov/Archives/edgar/data/12659/000160529715000023/form8-k07x16x15exhibit31.htm
Regency Centers Corporation	http://www.sec.gov/Archives/edgar/data/910606/000119312516550402/d183693dex32.htm
PayPal Holdings, Inc.	http://www.sec.gov/Archives/edgar/data/1633917/000119312515257108/d31081dex31.htm
Merck & Co., Inc.	http://www.sec.gov/Archives/edgar/data/310158/000031015815000048/exhibit32-byxlawsxmerckcoi.htm
McKesson Corporation 	http://www.sec.gov/Archives/edgar/data/927653/000119312515271990/d35635dex31.htm
SBA Communications REIT Corp.	https://www.sec.gov/Archives/edgar/data/1034054/000119312517012393/d279506dex33.htm
VEREIT, Inc.	http://www.sec.gov/Archives/edgar/data/1507385/000114420411035375/v224588_ex3-2.htm
Microsoft Corporation	https://www.sec.gov/Archives/edgar/data/789019/000119312516716834/d252287dex31.htm
The Progressive Corporation	http://www.sec.gov/Archives/edgar/data/80661/000008066115000042/exhibit31codeofregulations.htm
The Clorox Company 	https://www.sec.gov/Archives/edgar/data/21076/000120677416007192/clorox3118954-ex32.htm
The Coca-Cola Company	http://www.sec.gov/Archives/edgar/data/21344/000002134415000034/exhibit32.htm
United Technologies Corporation 	http://www.sec.gov/Archives/edgar/data/101829/000089882215000230/ex31.htm
Anadarko Petroleum Corporation	http://www.sec.gov/Archives/edgar/data/773910/000077391015000052/apc2015-09x218xkxexhibit31.htm
Philip Morris International Inc.	http://www.sec.gov/Archives/edgar/data/1413329/000141332915000053/exhibit31amendedandrestate.htm
DTE Energy Company	http://www.sec.gov/Archives/edgar/data/936340/000093634015000153/exhibit31bylaws-september2.htm
Yum! Brands Inc.	http://www.sec.gov/Archives/edgar/data/1041061/000104106115000027/exhibit31.htm
EOG Resources Inc.	http://www.sec.gov/Archives/edgar/data/821189/000082118915000035/exh3_109282015bylaws.htm
Chevron Corporation	http://www.sec.gov/Archives/edgar/data/93410/000009341015000033/a20150930form8-kexhibit32.htm
Equity Residential	http://www.sec.gov/Archives/edgar/data/906107/000119312515335392/d43422dex31.htm
Hasbro, Inc.	http://www.sec.gov/Archives/edgar/data/46080/000004608015000101/exhibit31.htm
Mondel?z International, Inc.	http://www.sec.gov/Archives/edgar/data/1103982/000119312515339385/d80038dex31.htm
Capital One Financial Corporation	http://www.sec.gov/Archives/edgar/data/927628/000092762815000096/exhibit31.htm
CSX Corporation	http://www.sec.gov/Archives/edgar/data/277948/000119312515341287/d79889dex31.htm
Occidental Petroleum Corporation 	http://www.sec.gov/Archives/edgar/data/797468/000119312515343757/d46127dex3ii.htm
ConocoPhillips	http://www.sec.gov/Archives/edgar/data/1163165/000110465915070400/a15-21074_1ex3d1.htm
The Bank of New York Mellon Corp.	http://www.sec.gov/Archives/edgar/data/1390777/000119312515347012/d72997dex31.htm
EQT Corporation 	http://www.sec.gov/Archives/edgar/data/33213/000110465915070893/a15-20975_1ex3d2.htm
Walgreens Boots Alliance, Inc.	http://www.sec.gov/Archives/edgar/data/1618921/000119312515345232/d42135dex31.htm
State Street Corporation	http://www.sec.gov/Archives/edgar/data/93751/000009375115000214/exhibit32proxyaccessamende.htm
TCF Financial Corporation	http://www.sec.gov/Archives/edgar/data/814184/000081418415000033/exhibit31amendedandrestate.htm
